# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.03 10.000 0.9499999881 2.4618122578    0.949 -0.065  3.7363  4.378    1  0.000  0.536     0.00     0.00 -1 -7.17e-14      0.00 7.213e-01 2.530e-01 4.539e-03 1.242e-03 1.129e-02 -1.000 2.572e-02 4.934 6.409 5.866 5.054 4.567 4.200 3.714 3.329 3.273
0.03 10.000 0.9521710873 2.4623222351    0.952 -0.058  3.7368  4.374    1  0.000  0.536     0.00     0.00 -1 -7.31e-14      0.00 7.216e-01 2.527e-01 4.535e-03 1.241e-03 1.129e-02 -1.000 2.571e-02 4.916 6.382 5.844 5.034 4.549 4.182 3.698 3.315 3.259
0.03 10.000 0.9618244171 2.4645581245    0.961 -0.027  3.7389  4.355    1  0.000  0.536     0.00     0.00 -1 -7.99e-14      0.00 7.228e-01 2.516e-01 4.518e-03 1.236e-03 1.125e-02 -1.000 2.556e-02 4.837 6.266 5.749 4.948 4.469 4.106 3.628 3.250 3.195
0.03 10.000 0.9711006880 2.4666583538    0.971  0.003  3.7407  4.337    1  0.000  0.536     0.00     0.00 -1 -8.71e-14      0.00 7.237e-01 2.508e-01 4.505e-03 1.232e-03 1.122e-02 -1.000 2.550e-02 4.761 6.160 5.660 4.866 4.392 4.032 3.560 3.186 3.132
0.03 10.000 0.9860205054 2.4699413776    0.986  0.055  3.7435  4.303    1  0.000  0.536     0.00     0.00 -1 -1.01e-13      0.00 7.243e-01 2.502e-01 4.497e-03 1.230e-03 1.119e-02 -1.000 2.546e-02 4.632 5.980 5.510 4.727 4.263 3.907 3.443 3.076 3.023
0.03 10.000 0.9938258529 2.4716138840    0.994  0.083  3.7449  4.284    1  0.000  0.536     0.00     0.00 -1  -1.1e-13      0.00 7.240e-01 2.505e-01 4.503e-03 1.232e-03 1.120e-02 -1.000 2.555e-02 4.563 5.885 5.430 4.653 4.193 3.840 3.380 3.015 2.964
0.03 10.000 1.0000000000 2.4729156494    1.000  0.106  3.7458  4.267    1  0.000  0.536     0.00     0.00 -1 -1.18e-13      0.00 7.234e-01 2.510e-01 4.512e-03 1.234e-03 1.123e-02 -1.000 2.561e-02 4.506 5.812 5.366 4.593 4.136 3.784 3.326 2.964 2.913
0.03 10.000 1.0021952391 2.4733738899    1.002  0.114  3.7461  4.261    1  0.000  0.536     0.00     0.00 -1  -1.2e-13      0.00 7.232e-01 2.512e-01 4.515e-03 1.235e-03 1.124e-02 -1.000 2.562e-02 4.485 5.785 5.343 4.571 4.115 3.764 3.307 2.945 2.895
0.03 10.000 1.0133290291 2.4756636620    1.013  0.157  3.7471  4.227    1  0.000  0.536     0.00     0.00 -1 -1.35e-13      0.00 7.218e-01 2.525e-01 4.539e-03 1.242e-03 1.130e-02 -1.000 2.573e-02 4.377 5.658 5.227 4.460 4.007 3.657 3.203 2.844 2.794
0.03 10.000 1.0220094919 2.4774088860    1.021  0.192  3.7473  4.196    1  0.000  0.536     0.00     0.00 -1 -1.49e-13      0.00 7.206e-01 2.536e-01 4.559e-03 1.247e-03 1.135e-02 -1.000 2.580e-02 4.290 5.565 5.138 4.372 3.921 3.571 3.117 2.759 2.708
