IRL084 	5442 	3.25 	-0.05
IRL085 	5347 	2.87 	-0.37
IRL088 	5451 	4.48 	-0.34
IRL089 	4968 	1.45 	-0.28
IRL090 	4996 	1.59 	-0.31
IRL091 	5332 	3.20 	-0.49
IRL092 	5878 	3.73 	-0.11
IRL093 	5974 	3.85 	-0.15
IRL094 	5531 	4.32 	-0.01
IRL095 	4739 	1.64 	-0.07
IRL096 	4804 	1.63 	-0.09
IRL097 	4864 	1.30 	-0.05
IRL098 	4864 	1.30 	-0.05
IRL099 	5009 	1.56 	-0.19
IRL100 	5196 	2.54 	-0.20
IRL101 	5123 	2.88 	-0.31
IRL102 	5069 	2.70 	-0.41
IRL103 	5475 	1.05 	0.21
IRL104 	5375 	0.36 	0.14
IRL105 	4904 	1.30 	-0.15
IRL106 	4904 	1.30 	-0.15
IRL107 	5312 	2.63 	-0.19
IRL108 	5171 	3.64 	0.13
IRL109 	5430 	3.16 	-0.25
IRL110 	4709 	1.26 	0.10
IRL111 	4718 	0.66 	-0.16
IRL112 	5030 	2.35 	-0.13
IRL113 	4847 	2.56 	-0.44
IRL114 	4566 	1.12 	-2.63
IRL115 	5401 	4.60 	-0.13
IRL116 	5079 	4.48 	0.16
IRL117 	5079 	4.48 	0.16
IRL118 	4604 	1.62 	0.17
IRL119 	4604 	1.62 	0.17
IRL120 	4750 	2.01 	0.03
IRL121 	4446 	1.50 	0.39
IRL122 	4446 	1.50 	0.39
IRL123 	4740 	2.88 	-0.05
IRL124 	4678 	2.88 	0.01
IRL125 	5211 	0.25 	0.20
IRL126 	5600 	0.25 	0.21
IRL127 	4786 	1.48 	-0.13
IRL128 	4764 	1.65 	-0.11
IRL129 	4776 	1.53 	0.04
IRL130 	4928 	1.57 	0.06
IRL131 	4810 	2.93 	-0.32
IRL132 	5264 	4.66 	0.34
IRL133 	4361 	1.93 	-0.53
IRL134 	4361 	1.93 	-0.53
IRL135 	4361 	1.93 	-0.53
IRL136 	4361 	1.93 	-0.53
IRL137 	4500 	0.20 	0.12
IRL138 	4500 	0.20 	0.12
IRL139 	4525 	2.79 	-0.06
IRL140 	4837 	2.24 	-0.32
IRL141 	4966 	2.92 	-0.24
IRL142 	4796 	3.22 	0.00
IRL143 	4862 	3.40 	0.02
IRL144 	5150 	4.44 	-0.17
IRL145 	4270 	1.22 	0.00
IRL146 	4215 	1.42 	-0.16
IRL147 	4410 	2.68 	-0.07
IRL148 	4502 	2.68 	-0.07
IRL149 	4547 	2.17 	-0.11
IRL150 	4498 	2.38 	0.05
IRL151 	5018 	0.20 	0.02
IRL152 	3749 	0.20 	0.18
IRL153 	5073 	4.49 	0.10
IRL154 	4331 	1.97 	-0.13
IRL155 	4228 	0.77 	-0.09
IRL156 	4143 	0.99 	-0.01
IRL157 	4176 	1.67 	-0.39
IRL158 	3930 	1.67 	-0.39
IRL159 	4367 	1.75 	-0.03
IRL160 	4367 	1.75 	-0.03
IRL161 	4882 	2.53 	-0.26
IRL162 	4884 	2.48 	-0.23
IRL163 	4308 	1.98 	-0.19
IRL164 	4359 	2.58 	-0.35
IRL165 	4380 	1.73 	-0.06
IRL166 	4285 	1.88 	-0.09
IRL167 	4717 	4.50 	0.05
IRL168 	3736 	1.05 	-0.19
IRL169 	3898 	0.63 	-0.14
IRL170 	4068 	1.16 	-0.50
IRL171 	4226 	0.87 	-0.47
IRL172 	4355 	1.98 	-0.21
IRL173 	4192 	2.48 	-0.32
IRL174 	4738 	4.39 	0.14
IRL175 	4805 	4.17 	0.15
IRL176 	3913 	1.32 	-0.30
IRL177 	3817 	0.68 	-0.10
IRL178 	3839 	0.49 	-0.10
IRL179 	4275 	2.35 	-0.41
IRL180 	4464 	4.61 	0.09
IRL181 	3943 	2.13 	-0.05
IRL182 	3996 	0.65 	-0.37
IRL183 	4124 	0.83 	-0.21
IRL184 	4025 	1.42 	-0.14
IRL185 	4348 	4.37 	-0.72
IRL186 	4070 	4.70 	-0.18
IRL187 	6799 	2.63 	-0.30
IRL200 	1952 	6.65 	-0.41
IRL201 	3814 	0.69 	0.12
IRL202 	3565 	0.69 	-0.12
IRL203 	3810 	4.65 	0.00
IRL204 	4044 	1.60 	-0.08
IRL205 	3934 	4.65 	-0.04
IRL207 	3738 	0.00 	-0.20
IRL208 	3497 	0.00 	-0.20
IRL209 	3771 	0.61 	0.06
IRL210 	3468 	0.61 	0.13
IRL211 	3651 	4.57 	0.53
IRL212 	3952 	0.00 	-0.11
IRL213 	3593 	0.00 	-0.11
IRL214 	3960 	-0.03 	-0.06
IRL215 	3342 	-0.03 	-0.11
IRL216 	3765 	1.50 	-0.71
IRL217 	4190 	0.00 	0.05
IRL218 	4016 	0.00 	0.05
IRL219 	3937 	4.69 	0.00
IRL220 	3658 	0.90 	0.27
IRL221 	3986 	4.70 	-0.16
IRL222 	3966 	4.70 	-0.21
IRL223 	3879 	0.00 	0.00
IRL224 	3540 	0.00 	-0.06
IRL225 	3783 	0.62 	-0.48
IRL226 	3673 	0.62 	-0.42
IRL227 	3800 	1.00 	-0.86
IRL228 	3650 	1.00 	-0.63
IRL229 	3608 	1.35 	-0.75
IRL230 	3660 	4.65 	-0.23
IRL231 	4050 	4.80 	-0.20
IRL233 	3340 	0.14 	-0.59
IRL236 	3971 	4.74 	-0.28
IRL237 	3778 	0.12 	-0.27
IRL238 	3517 	0.12 	-0.16
IRL239 	3558 	1.00 	0.00
IRL243 	3538 	0.16 	-0.70
IRL244 	3844 	0.16 	-0.08
IRL245 	3341 	0.16 	-0.05
IRL246 	3988 	4.74 	-0.19
IRL248 	3772 	4.75 	-0.19
IRL249 	3549 	0.57 	-0.22
IRL251 	3623 	1.07 	-0.14
IRL252 	3566 	1.07 	-0.52
IRL253 	4063 	4.75 	-0.56
IRL254 	3828 	4.75 	-0.72
IRL255 	4055 	4.75 	-0.74
IRL256 	3561 	0.20 	-2.50
IRL257 	3668 	1.04 	-0.71
IRL258 	4135 	0.76 	-2.50
IRL259 	3690 	0.50 	0.14
IRL260 	3649 	4.80 	-0.18
IRL261 	3728 	4.80 	-0.19
IRL262 	3369 	4.80 	-0.19
IRL263 	3443 	0.88 	0.00
IRL264 	3285 	4.85 	-0.22
IRL266 	3536 	1.92 	-0.99
IRL267 	3643 	0.91 	0.00
IRL268 	3158 	4.84 	-0.19
IRL270 	3491 	0.84 	0.00
IRL271 	2750 	-0.50 	-2.50
IRL273 	3278 	4.90 	-0.54
IRL274 	3306 	0.70 	0.07
IRL275 	3465 	0.70 	-0.69
IRL278 	2970 	4.96 	-0.26
IRL279 	2841 	4.96 	-0.58
IRL284 	2638 	5.00 	-0.85
IRL285 	2772 	5.00 	-0.80
IRL287 	3926 	0.55 	-0.15
IRL288 	3727 	0.27 	-0.41
IRL289 	3198 	0.45 	-0.54
IRL290 	3055 	0.20 	-1.12
IRL291 	1449 	7.10 	0.10
IRL292 	1105 	7.10 	0.67
